Name	Set	ImageFile	Type	Sub-Type	Cost	Attack	Defense	Speed	Damage	Effect	
Soren	Emblem	Soren.PNG	Squadron	Emblem Sage	1	15	10	6	5 + 3x	【Action】 Inflict Silence (2) to target enemy squadron.  【R2 Limit Assist】 Nullify an R2 or higher ability effect.	
Empress Sanaki	Emblem	Empress Sanaki.PNG	Squadron	Emblem Empress	2	15	15	4	6 + 2x	【Perfect Strike】 【Action】 Inflict Bolt (10) to target squadron.	
King Pelleas	Emblem	King Pelleas.PNG	Squadron	Emblem Orphan	1	15	10	5	7 + 2x	【Perfect Strike】 【Deploy】 Delete 1 soul cost [1+] Emblem squadron from deck. Shuffle it from your deleted zone into your deck when this card leaves the field. 【Death】 Deploy or recover the squadron that was deleted by this card's effect.	
Marcia	Emblem	Marcia.PNG	Squadron	Emblem Falcon	1	10	10	6	7	【R2 Action】 After this card attacks: Tag it with an Emblem squadron. That squadron cannot attack for the rest of this turn. 【R2 Assist】 After an Emblem squadron attacks:  Tag it with this card. Ally Snipers cannot attack and this card cannot attack directly this turn.	
Shinon	Emblem	Shinon.PNG	Squadron	Emblem Marksman	1	10	15	5	7	【Sniper】 【Active】 If this card can be attacked: Enemy cannot target other ally Emblem squadrons for attacks. 【Limit Action】 Attack Spend; destroy target ability.	
Geoffrey	Emblem	Geoffrey.PNG	Squadron	Emblem Knight	1	10	20	5	9	【Dual Strike】 【Reaper】	
Queen Elincia	Emblem	Queen Elincia.PNG	Squadron	Emblem Queen	2	10	20	6	10	【Dual Strike】 【Mobility】 【Active】 Gains Defense (5). 【Passive】 Inflicts Stun (2) when inflicting combat damage. 【Limit Assist】 Target ally Emblem squadron gains Defense (5) until the end of Enemy Phase.  『"If that's how it has to be, may the goddess have mercy on you..."』	
Codec Intel	Espionage	Codec Intel.PNG	Ability	Espionage Briefing	1	-	-	R2	-	【Limit】 Activate 1 concealed ally squadron's ambush effect that resolves as: "【Ambush】 Draw 2, scry 2."	
FOXDIE Virus	Espionage	FOXDIE Virus.PNG	Ability	Espionage Bioweapon	0	-	-	R1	-	【Limit】 If an ally Hound squadron dies by combat: You may activate this card as R2 and treat that squadron as a sacrifice. Sacrifice target ally Hound squadron, then excavate until you reveal a Hound squadron. You may conceal deploy that squadron.	
PAL Keys	Espionage	PAL Keys.PNG	Eternal Ability	Espionage Codes	0	-	-	-	-	【R1】 Choose 1. You can only choose each effect once, and once you've chosen all of them, self-sacrifice: •Recon 3.  •Conceal target ally Hound squadron.  •Tag ally concealed squadrons. 	
Solid Snake	Espionage	Solid Snake.PNG	Squadron	FoxHound Spy	2	25	20	4	8 + 1x	【Sneak Strike】 【Skill】 If this card battled this turn: Conceal. 【Ambush】 When this card declares an attack, choose 1: •Gain Unblockable (1). •Scry 2.	
Laughing Octopus	Espionage	Laughing Octopus.PNG	Squadron	SnakeHound Shifter	2	20	20	4	8 + 1x	【Target Guard】 【Sneak Strike】 【Skill】 If this card battled this turn: Conceal, then you may tag it. 【Ambush】 Combat Tag Defend with an active Hound or concealed squadron. The opponent may only redeclare the attack against this card. 	
Solidus Snake	Espionage	Solidus Snake.PNG	Squadron	FoxHound Patriot	2	20	25	4	8 + 1x	【Sneak Strike】 【Squadron Safeguard】 【R2 Limit Action】 When enemy targets a concealed or Hound squadron with an effect: Intercept. 【Action】 Tag all ally concealed squadrons with each other.	
Venom Snake	Espionage	Venom Snake.PNG	Squadron	DiamondHound Dog	2	20	20	4	8 + 1x	【Sneak Strike】 【Ambush】 Reveal 1 Hound squadron in your hand with an ambush effect that can resolve at this time: This effect resolves as that effect.	
Liquid Snake	Espionage	Liquid Snake.PNG	Squadron	FoxHound Leader	1	15	20	5	5 + 2x	【Sneak Strike】 【Action】 Conceal target ally Hound squadron or tag all ally concealed squadrons with each other. 【Ambush】 When an ally Foxhound squadron is revealed by an enemy card: Reconceal it, then scry 2.	
Psycho Mantis	Espionage	Psycho Mantis.PNG	Squadron	FoxHound Psychic	1	15	15	6	5 + 3x	【Sneak Strike】 【Action】  Declare a squadron name: Cards with the declared name cannot activate their effects until the end of the turn. 【Skill】 If this card battled this turn: Conceal. 【Limit Ambush】 When enemy targets a concealed or Hound squadron with an effect: Nullify that effect, then scry 2.	
Eva	Espionage	Eva.PNG	Squadron	FoxHound Patriot	0	15	10	6	6 + 1x	【Sneak Strike】 【Limit Skill】 Reveal 1 Hound squadron; draw 1. 【Ambush】 When this card declares an attack: Scry 2.	
Meryl Silverburgh	Espionage	Meryl Silverburgh.PNG	Squadron	FoxHound Soldier	1	15	15	5	6 + 1x	【Sneak Strike】 【Ambush】 When this card declares an attack, choose 1: •Gain Ability Safeguard (1). •Scry 2. 【Death】 Excavate 3, then you may conceal deploy 1 Hound squadron from among them except "Meryl Silverburgh".	
Screaming Mantis	Espionage	Screaming Mantis.PNG	Squadron	SnakeHound Psychic	0	15	15	6	7 + 1x	【Sneak Strike】 【Skill】 If this card battled this turn: Conceal. 【Limit Ambush】 When enemy draws or searches a card by an effect: They discard 1.	
Vulcan Raven	Espionage	Vulcan Raven.PNG	Squadron	FoxHound Heavy	1	15	20	3	7 + 1x	【Sneak Strike】 【Active】 If this card can be attacked: Enemy squadrons cannot target concealed squadrons or other Hound squadrons for attacks.	
Gray Fox	Espionage	Gray Fox.PNG	Squadron	FoxHound Ghost	2	15	20	8	8  + 1x	【Sneak Strike】 【Skill】 If this card battled this turn: Conceal. 【Ambush】When this card declares an attack, choose 1: •Gain Instant Strike (1). •Scry 2.  『"You can't defeat me with a weapon like that."』	
Revolver Ocelot	Espionage	Revolver Ocelot.PNG	Squadron	FoxHound Gunslinger	1	15	15	6	8 + 1x	【Sneak Strike】 【R2 Limit Skill】 If this card inflicts combat damage: Draw 1. 【Action】 You may shuffle your deck. Recon 3. You may then shuffle your deck. 【Ambush】 When this card declares an attack: Self-inflict attack (-5); gain Dual Strike (1).	
Big Boss	Espionage	Big Boss.PNG	Squadron	FoxHound Legend	3	15	30	5	9 + 1x	【Sneak Strike】 【Skill】 If this card battled this turn: Conceal it. 【Limit Action】 Inflict Suppress (2) to target enemy squadron. 【Ambush】 When this card declares an attack, choose 1: •Destroy any squadron that this card inflicts damage to this turn. •Scry 2.	
Quiet	Espionage	Quiet.PNG	Squadron	DiamondHound Sniper	1	10	10	5	5 + 1x	【Sniper】 【Sneak Strike】 【Skill】 If this card battled this turn: Conceal. 【Ambush】 When this card declares an attack, choose 1: •Self-inflict Attack (-5) and gain Speed (3). •Recon 3.	
Raiden	Espionage	Raiden.PNG	Squadron	FoxHound Maverick	1	10	15	5	5 + 2x	【Sneak Strike】 【Active】 If you have [1+] souls: Gains Attack (10). 【Skill】 If this card battled this turn: Conceal. 【Ambush】 Combat Tag Advance with a concealed squadron and gain Perfect Strike (1).	
Monsoon	Espionage	Monsoon.PNG	Squadron	FoxHound Winds	1	10	20	7	5 + 3x	【Sneak Strike】 【R2 Limit Skill】 Self-inflict Vanish (1-2), then Recon 3. 【Skill】 If this card battled this turn: Conceal. 【Limit Ambush】 Combat Tag Advance with a concealed squadron tag target enemy squadron.  『"Memes, the DNA of the soul."』	
Sniper Wolf	Espionage	Sniper Wolf.PNG	Squadron	FoxHound Marksman	2	10	15	5	6 + 1x	【Sniper】 【Sneak Strike】 【Skill】 If this card battled this turn: Conceal. 【Limit Action】 Target squadron takes 5 additional damage from combat this turn. 【Ambush】 When this card declares an attack, choose 1: •Gain Unblockable (1). •Gain Attack (5). •Scry 2.	
Raging Raven	Espionage	Raging Raven.PNG	Squadron	SnakeHound Bomber	1	10	20	6	7 + 1x	【Sneak Strike】 【Skill】 If this card battled this turn: Conceal. 【Limit Ambush】 Combat Tag Advance with a concealed squadron and declare an attack; destroy target ability.	
Jetstream Sam	Espionage	Jetstream Sam.PNG	Squadron	FoxHound Desperado	1	10	15	8	8 + 1x	【Sneak Strike】 【Passive】 Gains Attack (5) when battling a soul cost [1] or less squadron. 【Skill】 If this card battled this turn: Conceal. 【Ambush】 Combat Tag Advance with a concealed squadron and gain Squadron Instant (1).	
Otacon	Espionage	Otacon.PNG	Squadron	FoxHound Engineer	1	0	10	4	0	【R2 Limit Skill】 Self-inflict Vanish (1); search 1 Hound squadron. 【Assist】 Target Hound squadron can activate its Ambush effect while revealed until the end of Enemy Phase.	
Altar of Ruin	Fate	Altar of Ruin.PNG	Ability	Grail Wish	1	-	-	R2	-	【Limit】 When an ally Master or Heroic squadron dies from combat: Delete 1 Heroic squadron from ally graveyard, recreate the destroyed squadron, then it gains Lifeless (1) and Soulless (1).	
Altered Destiny	Fate	Altered Destiny.PNG	Ability	Grail Schism	0	-	-	R1	-	Sacrifice up to 1 Heroic and/or Master squadron from hand and/or field each, then draw 1 for each card sacrificed +1. You cannot draw from abilities for the rest of the turn.	
Duality of Spirit	Fate	Duality of Spirit.PNG	Ability	Grail Bond	0	-	-	R1	-	【Limit】 Recall target ally Master squadron, then deploy 1 Heroic squadron from hand or graveyard with a different type (Master or Heroic), reducing its soul cost by the paid cost of the recalled squadron.	
Heaven's Feel	Fate	Heaven's Feel.PNG	Ability	Grail Summoning	0	-	-	R2	-	【Limit】 Recon 5 and you may choose 1 of the following: •Send 1 Heroic squadron from among them to the graveyard. •Add 1 Master squadron from among them to your hand.	
Heroic Calling	Fate	Heroic Calling.PNG	Ability	Grail Blessing	0	-	-	R1	-	【Limit】 Choose 1: •Recover up to 2 target Heroic squadrons. •Return up to 2 target deleted Heroic squadrons to ally graveyard.	
Noble Phantasm	Fate	Noble Phantasm.PNG	Ability	Grail Legend	0	-	-	R1	-	【Limit】 Choose 1 based on the attack of target Arad squadron that can attack:  •5: Gain Attack (5). •10: Gain Instant Strike (1) and Unblockable (1). •15-20: Pay [1] or Attack Spend on targeted squadron; Inflict Bolt (10) to target enemy squadron. •25+: Pay [1] and discard 1; Destroy target card.	
Promised Victory	Fate	Promised Victory.PNG	Ability	Grail Hope	0	-	-	R2	-	【Limit】 When an enemy squadron activates an effect: Delete 1 Heroic squadron from ally graveyard; inflict Silence (1) to that enemy squadron.  『"A battlefield is Hell itself. There is nothing but unspeakable despair.  Just a soulless crime we call victory, paid for by the pain of the defeated."』	
Grail Rebirth	Fate	Grail Rebirth.PNG	Eternal Ability	Grail Curse	0	-	-	-	-	【Charge】 Return 1 deleted ally Heroic squadron to the bottom of your deck, then Draw 2, Charge [2], and discard 1.	
Ascend - Cthulhu (Fate)(Gilles De Rais)	Fate	Cthulhu.PNG	Token	Heroic Corruption	2	20	25	4	8 + 2x	-	
Token - Ionioi Hetairoi (Fate) (Iskandar)	Fate	Ionioi Hetairoi.PNG	Token	-	-	-	-	-	-	-	
Kirei Kotomine	Fate	Kirei Kotomine.PNG	Squadron	Master Priest	2	20	20	4	9	【Hand】 If there is an ally Heroic squadron that was deployed from hand, except by an effect: Deploy this card for [1], but it is nullified. 【Limit Skill】 Deploy 1 Heroic squadron from hand or graveyard, then it loses Transient.	
Iskandar	Fate	Iskandar.PNG	Squadron	Heroic Rider	2	20	20	5	10 + 1x	【Transient】 【Limit Skill】 Pay [1]; create 1 Hetairoi token and gain Unblockable.  『"Glory lies beyond the horizon... Speak of conquest and make it real!"』	
Lancelot	Fate	Lancelot.PNG	Squadron	Heroic Berserker	2	20	20	6	9 + 1x	【Transient】 【Action】 Gain 1 property of target squadron on the field or target Heroic squadron in ally graveyard until the end of Enemy Phase.  『"Let thine eyes be clouded, with the fog of turmoil and chaos."』	
Siegfried	Fate	Siegfried.PNG	Squadron	Heroic Saber	2	20	20	4	9 + 1x	【Transient】 【R3】 When an ally Master squadron dies: Pay [1]; create this card. 【Grave】 Transform target ally Master squadron into this card.	
Diarmuid	Fate	Diarmuid.PNG	Squadron	Heroic Lancer	1	15	20	5	8	【Transient】 【Piercing Strike】   『"May the Grail be cursed. May the wish it grants bring disaster!"』	
Kojiro Sasaki	Fate	Kojiro Sasaki.PNG	Squadron	Heroic Assassin	1	15	15	6	9	【Transient】 【Unblockable】	
Gilles de Rais	Fate	Gilles de Rais.PNG	Squadron	Heroic Caster	1	15	15	5	5 + 2x	【Transient】 【Action】 Ascend. 【Assist】 Discard 1; create 1 "Demon Servant" token.	
Kayneth El-Melloi	Fate	Kayneth El-Melloi.PNG	Squadron	Master Alchemist	1	15	25	3	5 + 3x	【Limit Skill】 Deploy 1 Heroic squadron from hand or graveyard. 【Limit Skill】 Delete target Heroic squadron from ally graveyard; return target deleted Heroic squadron to ally graveyard.	
Medea	Fate	Medea.PNG	Squadron	Heroic Caster	1	15	15	5	5 + 3x	【Transient】【Perfect Strike】 【Active】 When this card declares an attack: No effects can be activated and all other effects are nullified until combat resolves.	
Tokiomi Tohsaka	Fate	Tokiomi Tohsaka.PNG	Squadron	Master Mage	1	15	20	4	6 + 2x	【Action】 Place 1 Heroic squadron or Grail ability from hand on the bottom of deck, then draw 1. 【Limit Skill】 Deploy 1 Heroic squadron from hand or graveyard, then augment it:  "〖Perfect Strike〗".   『"Come forth from the circle of bindings, Guardian of Scales!"』	
Joan D'Arc	Fate	Joan D'Arc.PNG	Squadron	Heroic Ruler	2	15	25	5	6 + 3x	【Transient】 【Guardian】 【R2 Action】 When an attack or card effect targets an ally Heroic or Master squadron: Intercept.	
Artoria Pendragon	Fate	Artoria Pendragon.PNG	Squadron	Heroic Saber	1	15	15	7	8 + 1x	【Transient】 【Safeguard】 【Reaper】  『"That sword... is the dream all warriors, past, present, and future hold as their deaths approach. She carries their will as her pride, bidding them to remain steadfast in their loyalty. Now, the undefeated king sings aloud the name of the miracle she holds in her hand. Its name is..."』	
Token - Demon Servant (Fate) (Gilles De Rais)	Fate	Demon Servant.PNG	Token	-	-	15	15	4	7	【Active】 Gains Lifeless during Ally Phase.	
Maiya Hisau	Fate	Maiya Hisau.PNG	Squadron	Unnamed Soldier	1	10	15	5	6	【Sniper】 【Deploy】 Recon 3. You may send 1 card from among them to the graveyard. If you did not, you may then shuffle.	
Ryunosuke Uryuu	Fate	Ryuunosuke Uryuu.PNG	Squadron	Master Artist	0	10	10	5	7	【Limit Skill】 Deploy 1 Heroic squadron from hand or graveyard, then it gains: "【Active】 Nullify and delete any squadron this card kills by combat."	
Hassan-i-Sabbah	Fate	Hassan-i-Sabbah.PNG	Squadron	Heroic Assassin	0	10	15	7	8	【Transient】 【Nameless】 【Action】 Self-sacrifice. 【Limit Skill】 Discard 1; Create 1 "Hassan-I-Sabbah" from deck.	
Semiramis	Fate	Semiramis.PNG	Squadron	Heroic Assassin	1	10	20	7	9	【Transient】 【R2 Limit Action】 When this card inflicts combat damage: Look at the top 2 cards of your deck. Once, you may add 1 from among them to your hand. Afterwards, you may send the rest to the graveyard. Refresh at the end of Enemy Phase.	
Kariya Matou	Fate	Kariya Matou.PNG	Squadron	Master Deserter	0	10	10	5	5 + 2x	【Limit Assist】 Deploy 1 Heroic squadron from hand or graveyard. If that squadron is soul cost [2+]: Reduce its soul cost by [1]. That squadron must attack the highest soul cost enemy squadron if able.  『"Thou who art trapped in a cage of madness, and I, the summoner, who holds thy chains!"』	
Irisviel Einzbern	Fate	Irisviel Einzbern.PNG	Squadron	Master Homunculus	1	10	20	5	7 + 2x	【Action】 Inflict Stun (1) to target enemy squadron. 【Action】 Deploy 1 Heroic squadron from hand or graveyard.	
Kiritsugu Emiya	Fate	Kiritsugu Emiya.PNG	Squadron	Master Killer	1	10	15	7	7 + 2x	【Passive】 Gains Attack (+5) times the soul cost of the squadron this card battles (Max: +10). 【Limit Skill】 Deploy 1 Heroic squadron from hand or graveyard, then draw 1.  『"I hereby swear, that I shall be all the good in the world, that I shall defeat all the evil in the world!"』	
Medusa	Fate	Medusa.PNG	Squadron	Heroic Rider	1	10	15	8	7 + 3x	【Transient】 【Mobility】  【Limit Action】 Inflict Stun (2) to target enemy squadron. 【R2 Limit Assist】 Combat Tag Advance with a Heroic or Master squadron.	
Sola-Ui	Fate	Sola-ui.png	Squadron	Master Mistress	0	5	5	3	8	【R3】 If there is an ally Master or Heroic squadron: Create this card. 【Limit Skill】 Deploy 1 Heroic squadron from hand or graveyard. 【R2 Limit Assist】 When another Master squadron dies: Draw 1.	
Atalanta	Fate	Atalanta.PNG	Squadron	Heroic Archer	1	5	10	8	5 + 3x	【Transient】 【Sniper】 【Active】 Gains Attack (5), Defense (5), and Speed (1).	
Waver Velvet	Fate	Waver Velvet.PNG	Squadron	Master Student	0	0	5	3	0	【Limit Skill】 Deploy 1 Heroic squadron from hand or graveyard, then it gains: "【Guardian】". 【Assist】 Recon 3.	
A Penny Saved	Gensokyo	A Penny Saved.PNG	Ability	Spell Card	0	-	-	R2	-	【Limit】 Choose 1: •When an attack is declared against a Youkai squadron that has not taken combat damage from an active squadron this turn: Pay [1]; nullify all damage from that battle. •Outside of Combat Phase: Tag or reposition target ally Human squadron(s). 【Danmaku】 Choose up to 2:  •Place this card on the bottom of your deck. •Place 1 card from hand on the bottom of your deck, then draw 1.	
Bullet Hell	Gensokyo	Bullet Hell.PNG	Ability	Spell Card	0	-	-	R2	-	【Limit】 If there is an ally Human or Youkai squadron: Draw 3, then place 2 from hand on top of deck in any order. 【Danmaku】 Draw 1 or Extra Charge.	
Bullet Hell Alt 1	Gensokyo	Bullet Hell Alt 1.PNG	Ability	Spell Card	-	-	-	-	-	-	
Bullet Hell Alt 2	Gensokyo	Bullet Hell Alt 2.PNG	Ability	Spell Card	-	-	-	-	-	-	
Butterfly Illusion	Gensokyo	Butterfly Illusion.PNG	Ability	Spell Card	0	-	-	R1	-	【Limit】 If there is an ally Youkai squadron: Inflict Suppress (2) to target enemy squadron. 【Danmaku】 Choose 1: •Inflict Stun (2) to target squadron. You must pay [1] to activate this effect during Enemy Phase. •Place this card on the bottom of deck.	
Forgotten Ritual	Gensokyo	Forgotten Ritual.PNG	Ability	Spell Card	0	-	-	R1	-	【Limit】 If there is an ally Human or Youkai squadron: Inflict Nullify (2) to target enemy squadron. 【Danmaku】 Target card cannot be activated or activate effects until the end of this turn.	Huaman or Youkai
Master Spark	Gensokyo	Master Spark.PNG	Ability	Spell Card	2	-	-	R1	-	【Limit】 If there is an ally Human or Youkai squadron: You may discard 1; activate this card for [1]. Inflict Bolt (30) to target squadron.  【Danmaku】 Inflict Bolt (5) to target squadron.	
Sakuya's Watch	Gensokyo	Sakuya's Watch.PNG	Ability	Temporal Artifact	0	-	-	R1	-	【Limit】 You may pay [1] to recover target card. Shuffle all players' graveyards into their decks. 【Danmaku】 Inflict permanent Speed (-2) to target squadron, then shuffle this card into your deck.	
Wind God's Fan	Gensokyo	Wind God's Fan.PNG	Ability	Divine Artifact	0	-	-	R1	-	【Limit】 Discard up to 2, then draw the same number you discarded. If you discarded a Youkai squadron or Danmaku ability, draw an additional 1. 【Danmaku】 Shuffle a Danmaku ability or Youkai Squadron from hand into your deck, then excavate until you reveal the same card type and add it to your hand.	
Sakura Bloom	Gensokyo	Sakura Bloom.PNG	Eternal Ability	Ethereal Incident	0	-	-	-	-	【Pre-Charge】 Delete 2 from the top of your deck, then mill 2. 【Limit】 Self-sacrifice; Transient deploy target Human squadron for +[1], or target Youkai squadron from ally graveyard with a different name than ally deleted cards. 【Danmaku】 Scry 1, then place this card to the bottom of deck.	
Sunny Disposition	Gensokyo	Sunny Disposition.PNG	Eternal Ability	Peaceful Incident	0	-	-	-	-	【Passive】 If there is an ally Human or Youkai squadron on field or in graveyard: Turn player Extra Charges at the end of their turn. 【Danmaku】 Recon 2, then you may shuffle. Then, place this card on the bottom of deck.	
Alice Margatroid Alt 1	Gensokyo	Alice Margatroid Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Alice Margatroid Alt 2	Gensokyo	Alice Margatroid Alt 2.PNG	Squadron	-	-	-	-	-	-	-	
Sakuya Izayoi Alt 1	Gensokyo	Sakuya Izayoi Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Sakuya Izayoi Alt 2	Gensokyo	Sakuya Izayoi Alt 2.PNG	Squadron	-	-	-	-	-	-	-	
Flandre Scarlet	Gensokyo	Flandre Scarlet.PNG	Squadron	Vampire Youkai	3	25	25	7	13	【Passive】 When an attack is declared, each player mills 1. 【R2 Forced Action】 At the start of your Combat Phase: Discard 1 and declare a number between 1 and 4; This card may declare that many attacks this turn, splitting its attack stat among them, but may only inflict life damage once. Self-inflict Stun (2) during your End Phase.	
Mima	Gensokyo	Mima.PNG	Squadron	Human Witch	3	20	25	4	13	【Entry】 Mill your entire deck.  【Passive】 Delete any Danmaku abilities that are in ally graveyard after resolution. You cannot activate the Danmaku effects of cards that share a name with ally deleted cards. 【Death】 Select 7 cards from ally graveyard, shuffle the rest into your deck, then place the 7 selected cards on top of your deck in any order.	
Kaguya Houraisan	Gensokyo	Kaguya Houraisan.PNG	Squadron	Human Princess	3	20	20	5	6 + 2x	【Deploy】 Search 3 cards and discard them.  【Grave】 Pay [1] and delete any combination of 8 Human or Youkai squadrons and/or abilities with Danmaku from ally graveyard; Transient create this card.	
Patchouli Knowledge	Gensokyo	Patchouli Knowledge.PNG	Squadron	Human Mage	2	20	20	5	6 + 2x	【R2 Limit Action】 Replace an ally Danmaku effect in the sequence with: "Search and discard 1 ability with Danmaku and a different name from cards in ally graveyard." Refresh at the end of Enemy Phase.	
Remilia Scarlet	Gensokyo	Remilia Scarlet.PNG	Squadron	Vampire Youkai	2	20	20	4	9 + 1x	【Active】 When a player loses life: Mill 2. 【R2 Skill】 When a squadron dies by combat: Gain Armor (5).  【Limit Skill】 Discard 1; deploy target Youkai squadron from ally graveyard.	
Yuyuko Saigyouji	Gensokyo	Yuyuko Saigyouji.PNG	Squadron	Ghost Youkai	3	20	25	5	9 + 1x	【Action】 Delete 1 Youkai squadron from ally graveyard; place 1 "Void Butterfly" marker on target squadron zone. 【Action】 Delete 1 Youkai squadron from ally graveyard; place 1 "Void Butterfly" marker on target ability zone.	
Marker - Void Butterfly (Gensokyo)(Yuyuko Saigyouji)	Gensokyo	Void Butterfly.PNG	Token	-	-	-	-	-	-	【Nameless】 【Expire】 End of Enemy Phase. 【Passive】 Nullify any ability played in this zone, and inflict Nullify (2) to any squadron in this zone without a status condition.	
Fujiwara Mokou	Gensokyo	Fujiwara Mokou.PNG	Squadron	Immortal Human	1	15	15	5	8	Retains card state in the graveyard until the end of the turn and you may not create this card if it would have negative defense. 【Forced Entry】 Mill 3. 【R2 Grave】 During the turn this card dies: Pay 5 life and discard 1, then create it and it gains Attack (+5) and self-inflicts Defense (-5) for each time it was created by this effect.	
Sakuya Izayoi	Gensokyo	Sakuya Izayoi.PNG	Squadron	Human Maid	1	15	15	6	5 + 2x	【R2 Limit Action】 Discard 1 or reveal 1 Human or Youkai squadron, or 1 Danmaku ability from hand and mill 2; Inflict Bolt (5) to target enemy squadron. Refresh at end of Enemy Phase. 【Danmaku】 Shuffle this card into your deck.	
Reimu Hakurei	Gensokyo	Reimu Hakurei.PNG	Squadron	Human Priestess	1	15	20	5	5 + 3x	【Pre-Charge】 Mill 2. 【Action】 Scry 3. You may not change the order.	
Rumia	Gensokyo	Rumia.PNG	Squadron	Shadow Youkai	1	15	10	6	5 + 3x	【Action】 If this card battled this turn: Conceal at the beginning of Enemy Phase. 【Limit Ambush】 When an enemy squadron is played: Discard 1 or mill 3; enemy chooses Suppress (1-2) to inflict to that squadron.	
Marisa Kirisame	Gensokyo	Marisa Kirisame.PNG	Squadron	Human Mage	1	15	15	6	6 + 2x	【Action】 Transient activate target ability with Danmaku from ally graveyard with a different name than ally deleted cards.	
Chen	Gensokyo	Chen.PNG	Squadron	Cat Youkai	1	15	10	7	7 + 1x	【Instant Strike】 【Death】 Mill 3 then recover 1 Youkai squadron from among them.	
Daiyousei	Gensokyo	Daiyousei.PNG	Squadron	Fairy Youkai	0	15	10	5	7 + 1x	【Entry】 Place 1 Danmaku ability from hand or field on the bottom of your deck, then excavate until you reveal a Danmaku ability. Add that ability to your hand. 【Death】 Shuffle 1 Danmaku ability from ally graveyard into your deck.	
Aya Shameimaru	Gensokyo	Aya Shameimaru.PNG	Squadron	Crow Youkai	1	15	15	5	7 + 2x	【Perfect Strike】 When this card changes zones (between hand, deck, graveyard, deleted zone, or by moving): You may reveal it and mill 1. 【R2 Limit Skill】 Outside of Combat Phase: Discard 1 and tag this card with an ally Human or Youkai squadron. Refresh at the end of Enemy Phase.	
Kazami Yuuka	Gensokyo	Kazami Yuuka.PNG	Squadron	Flower Youkai	2	15	25	5	7 + 2x	【Passive】 When a squadron dies: Gains Defense (5). 【R2 Action】 When a player pays a soul(s) to play a card: Mill 3. 【R2 Action】 When a non-token squadron dies: Delete it from the graveyard and create 1 "Stalking Sunflower" token.	
Komachi Onozuka	Gensokyo	Komachi Onozuka.PNG	Squadron	Reaper Youkai	2	15	30	3	7 + 2x	【Action】 Delete 1 squadron from ally graveyard and discard 1 or mill 3; tag or reposition target enemy squadron.	
Koakuma	Gensokyo	Koakuma.PNG	Squadron	Demon Youkai	1	15	15	7	8 + 1x	【Limit Skill】 Delete an ability from hand or field, then enemy does the same if able. Each player that did then excavates until they reveal an ability. They may add it to hand, conceal it, or play it ignoring activation rank.  【Death】 Discard an ability, then conceal an ability with Danmaku from ally graveyard.	
Token - Shanghai Doll (Gensokyo) (Alice Margatroid)	Gensokyo	Shanghai Doll.PNG	Token	Mage's Doll	-	15	10	3	8	【Perfect Strike】	
Alice Margatroid	Gensokyo	Alice Margatroid.PNG	Squadron	Human Mage	1	10	10	5	5 + 1x	【Sniper】 【Limit Assist】 May be activated as R2 if there is another ally Human or Youkai squadron. Discard 1 Human or Youkai squadron or 1 ability with Danmaku and mill 3; create 1 "Shanghai Doll" or "Hourai Doll" token. Refresh at the end of Enemy Phase.	
Sanae Kochiya	Gensokyo	Sanae Kochiya.PNG	Squadron	Human Priestess	1	10	10	6	5 + 1x	【Sniper】 【R2 Limit Skill】 Replace an ally Danmaku effect in the sequence with: "Destroy target ability."	
Eirin Yagokoro	Gensokyo	Eirin Yagokoro.PNG	Squadron	Lunar Youkai	2	10	20	4	6 + 1x	【Sniper】 【R2 Assist】 When this card declares an attack: Mill 3; Choose 1. You may only choose each effect once: •This card's attack inflicts Stun (2). •This card's attack inflicts Silence (2). •Gain Unblockable (1).	
Keine, Hakutaku	Gensokyo	Keine, Hakutaku.PNG	Squadron	Human Youkai	1	10	20	4	7 + 1x	【R2 Limit Action】 Mill 3; Replace an ally Danmaku effect from among them or in the sequence with "Ally 'Keine, Hakutaku' gains Attack (10)." Refresh at the end of Enemy Phase.	
Ran Yakumo	Gensokyo	Ran Yakumo.PNG	Squadron	Kitsune Youkai	1	10	20	7	8 + 2x	【R2 Limit Action】 When this card inflicts combat damage: Activate the Danmaku effect of target ability in ally graveyard, then delete it. Refresh at the end of Enemy Phase.	
Token - Hourai Doll (Gensokyo) (Alice Margatroid)	Gensokyo	Hourai Doll.PNG	Token	Mage's Doll	-	10	20	3	8	【Safeguard】	
Token - Stalking Sunflower (Gensokyo) (Kazami Yuuka)	Gensokyo	Stalking Sunflower.PNG	Token	Flower Youkai	-	0	5	3	0	【Soulless】 【Lifeless】 【Nameless】 【Pre-Charge】 Mill 2. 【R2 Assist】 When another ally squadron is targeted by an attack: The attacking squadron immediately begins combat against this card. The previous combat resumes after this combat resolves.	
Hell Fire	Guilty	Hell Fire.PNG	Ability	Guilty Burst	0	-	-	R1	-	【Limit】 Choose 1: •Pay 1 Tension; Combat Charge, then draw 1. •Pay 2 Tension; Extra Charge. •Pay 3 Tension; draw 2. 	
Rising Force	Guilty	Rising Force.PNG	Ability	Guilty Destruction	2	-	-	R1	-	【Limit】 If there is an ally Guilty squadron: Inflict Bolt (30) to target squadron. You may pay 3 Tension; activate this card for [1].  『"They are modest to greed, generous to the truth of the world. When the heart is peaceful the seven seas cry."』	
